product_id,category_id,brand_name,product_name,mrp,cost_price,weight_g,length_cm,height_cm,width_cm,launch_month,selling_price,product_rating_avg
PROD000001,CAT012,Crompton,Product_000001,4723.84,2724.51,5120,46.4,6.9,32.6,10,4056.67,3.6
PROD000002,CAT036,Fastrack,Product_000002,7918.43,5561.6,2673,8.9,34.1,41.7,9,7483.03,3.3
PROD000003,CAT030,Nike,Product_000003,11901.66,8716.71,4377,34.6,17.6,48.4,4,11248.35,3.6
PROD000004,CAT030,Wild Stone,Product_000004,7334.18,4860.93,1825,54.3,45.1,37.0,4,6031.34,4.3
PROD000005,CAT012,Bajaj,Product_000005,4698.96,3049.75,3897,68.6,39.7,6.2,8,3491.02,4.1
PROD000006,CAT040,Wild Stone,Product_000006,7915.6,4072.44,3109,31.9,15.0,32.6,12,5889.88,4.4
PROD000007,CAT019,Philips,Product_000007,8805.09,6528.86,4653,66.4,52.0,37.4,5,7648.74,4.8
PROD000008,CAT022,Airtel,Product_000008,11157.54,6474.61,4290,61.8,22.1,53.0,8,9338.33,4.7
PROD000009,CAT031,Dell,Product_000009,1257.81,908.21,1634,74.7,43.1,4.3,12,1100.84,4.6
PROD000010,CAT027,Airtel,Product_000010,4047.69,2723.09,907,79.2,17.5,6.7,10,3096.38,4.2
PROD000011,CAT007,Dell,Product_000011,1488.04,1054.68,4461,8.1,13.4,24.6,12,1377.64,4.8
PROD000012,CAT013,Crompton,Product_000012,10030.93,7053.02,277,37.8,51.9,49.0,5,8313.02,3.6
PROD000013,CAT015,Tata,Product_000013,3328.51,2210.9,3767,63.0,55.3,31.1,9,2706.3,2.8
PROD000014,CAT038,Adidas,Product_000014,11282.3,8610.83,2670,66.7,22.4,21.1,3,10025.87,4.4
PROD000015,CAT029,Adidas,Product_000015,6096.45,4173.22,507,11.2,20.3,42.8,1,4941.86,2.9
PROD000016,CAT015,Dell,Product_000016,5263.41,2723.22,3818,50.5,42.7,32.2,6,3987.71,3.7
PROD000017,CAT030,Lakme,Product_000017,7775.98,6647.61,2708,72.4,15.2,36.1,10,7403.67,4.6
PROD000018,CAT030,Crompton,Product_000018,4212.92,3318.19,4745,22.0,52.1,28.0,6,3765.97,4.3
PROD000019,CAT016,Bajaj,Product_000019,4218.79,2763.51,1227,31.1,2.5,44.6,4,3790.55,3.2
PROD000020,CAT017,Boat,Product_000020,2314.91,1432.03,112,34.6,10.2,4.9,12,1674.62,3.0
PROD000021,CAT036,Samsung,Product_000021,5634.56,3143.35,805,34.6,9.0,4.1,5,4219.03,3.9
PROD000022,CAT023,Boat,Product_000022,7050.59,3797.85,1556,47.1,20.4,42.2,2,4996.95,4.2
PROD000023,CAT006,Wild Stone,Product_000023,1581.38,893.36,3622,9.6,52.2,5.5,3,1454.59,4.3
PROD000024,CAT029,Wild Stone,Product_000024,8581.06,5391.68,2058,63.4,39.1,22.9,2,7802.17,4.3
PROD000025,CAT024,Samsung,Product_000025,4191.36,2881.14,739,14.2,8.2,24.5,12,3386.21,2.5
PROD000026,CAT021,Boat,Product_000026,3368.83,2383.62,5400,66.0,6.6,38.4,8,2725.04,4.1
PROD000027,CAT030,Tata,Product_000027,2813.11,2304.14,684,6.3,18.7,47.3,1,2602.78,4.0
PROD000028,CAT037,Bajaj,Product_000028,3320.14,2218.12,2018,64.0,38.0,50.0,7,2611.08,3.4
PROD000029,CAT014,Dell,Product_000029,15793.28,8628.28,4834,31.6,36.4,19.7,6,12000.0,4.8
PROD000030,CAT017,Airtel,Product_000030,6142.69,2853.81,3624,54.2,8.6,13.1,7,4625.6,3.5
PROD000031,CAT008,Hp,Product_000031,4549.85,2121.81,1827,18.4,46.1,58.9,11,3026.6,2.7
PROD000032,CAT026,Mi,Product_000032,9660.98,5846.46,5340,45.3,38.7,6.4,5,7740.84,2.6
PROD000033,CAT017,Nike,Product_000033,5452.67,3504.52,2806,27.4,59.0,49.6,4,4915.77,3.5
PROD000034,CAT014,Fastrack,Product_000034,7225.74,4278.6,144,5.3,34.1,5.1,5,6717.94,3.9
PROD000035,CAT028,Lakme,Product_000035,2927.21,1651.73,133,59.4,21.0,31.2,9,2614.5,4.8
PROD000036,CAT017,Mi,Product_000036,6978.34,3367.27,5181,14.8,8.9,39.9,2,5213.21,3.5
PROD000037,CAT019,Crompton,Product_000037,10249.48,5066.51,1618,75.5,55.3,30.8,8,7656.27,3.8
PROD000038,CAT018,Wild Stone,Product_000038,12492.68,8862.16,4485,45.8,4.2,35.6,10,10727.24,4.4
PROD000039,CAT011,Red Tape,Product_000039,1759.75,1079.0,335,5.1,22.2,5.4,12,1248.49,4.1
PROD000040,CAT006,Lakme,Product_000040,13772.85,8574.13,893,75.9,32.8,12.6,6,12000.0,4.6
PROD000041,CAT034,Oneplus,Product_000041,7122.09,4328.19,4727,15.0,35.0,35.0,6,5920.26,4.0
PROD000042,CAT004,Hp,Product_000042,8443.77,5786.37,5468,67.5,35.8,50.4,11,7423.05,4.7
PROD000043,CAT013,Mi,Product_000043,5290.41,3495.87,380,29.7,43.6,34.7,10,3936.61,4.0
PROD000044,CAT027,Oneplus,Product_000044,5293.4,3921.05,1005,47.6,9.4,32.0,6,4741.63,2.8
PROD000045,CAT006,Mi,Product_000045,1136.01,776.8,4004,67.7,43.7,59.3,5,978.69,3.3
PROD000046,CAT027,Dell,Product_000046,5606.64,3915.05,2959,8.8,53.6,25.8,11,4756.18,3.6
PROD000047,CAT030,Bajaj,Product_000047,2423.06,1817.62,2292,56.0,3.8,25.6,5,2228.06,4.3
PROD000048,CAT027,Adidas,Product_000048,6770.08,4690.71,1150,16.1,4.1,8.1,12,5811.99,3.2
PROD000049,CAT013,Adidas,Product_000049,6815.61,3905.34,5205,58.7,59.5,47.9,6,5214.62,3.6
PROD000050,CAT001,Hp,Product_000050,4464.08,3147.66,1030,17.1,20.1,7.8,7,4087.58,3.0
PROD000051,CAT036,Oneplus,Product_000051,2783.94,1677.92,1532,6.6,28.4,11.6,7,2272.22,3.4
PROD000052,CAT014,Red Tape,Product_000052,2699.21,1654.75,1851,16.7,20.0,7.2,10,2303.1,3.1
PROD000053,CAT033,Crompton,Product_000053,8069.24,4992.02,848,51.9,34.3,14.8,10,7327.94,4.7
PROD000054,CAT008,Hp,Product_000054,7926.32,5315.03,2996,78.9,43.3,28.6,2,7522.36,4.6
PROD000055,CAT007,Tata,Product_000055,6229.73,4009.46,1943,77.8,46.1,6.4,11,5503.28,4.2
PROD000056,CAT032,Tata,Product_000056,6413.18,4040.24,3382,60.9,22.6,27.0,2,4701.16,2.8
PROD000057,CAT038,Red Tape,Product_000057,4764.23,3450.13,2086,66.8,17.1,30.9,10,4458.6,4.7
PROD000058,CAT035,Oneplus,Product_000058,9113.09,5876.44,729,70.5,33.7,10.2,9,7835.64,2.9
PROD000059,CAT031,Airtel,Product_000059,1621.2,1066.84,4812,44.6,24.3,7.1,8,1344.33,2.6
PROD000060,CAT010,Red Tape,Product_000060,2394.95,1171.27,2852,22.1,38.1,21.6,1,1852.15,2.6
PROD000061,CAT037,Tata,Product_000061,3461.94,1919.77,1838,54.6,37.5,40.4,11,2734.75,3.1
PROD000062,CAT027,Hp,Product_000062,1626.23,868.88,188,15.6,53.9,38.0,9,1218.87,2.9
PROD000063,CAT007,Fastrack,Product_000063,5958.1,3308.16,3328,67.4,2.2,11.1,7,4349.37,2.9
PROD000064,CAT006,Adidas,Product_000064,2554.94,1761.14,4326,35.9,7.9,9.1,3,2168.69,3.2
PROD000065,CAT035,Philips,Product_000065,1324.61,807.81,3610,25.0,47.6,14.5,10,1068.98,4.5
PROD000066,CAT012,Crompton,Product_000066,4743.55,2807.83,4354,68.3,35.8,53.0,3,3738.92,4.6
PROD000067,CAT031,Lakme,Product_000067,3383.48,1875.87,937,13.3,5.6,56.2,6,2680.32,4.6
PROD000068,CAT006,Oneplus,Product_000068,10843.88,5227.43,5347,78.1,56.7,33.2,5,8677.86,4.3
PROD000069,CAT012,Bajaj,Product_000069,6104.36,3423.02,1241,76.3,39.7,54.5,6,5474.2,4.0
PROD000070,CAT012,Tata,Product_000070,3843.48,2523.19,1541,50.7,30.2,11.4,12,3368.3,3.9
PROD000071,CAT012,Bajaj,Product_000071,6192.59,3363.03,2867,58.4,47.2,40.8,10,5122.29,4.8
PROD000072,CAT027,Hp,Product_000072,3367.63,1955.24,128,7.8,36.6,40.3,9,2612.6,3.2
PROD000073,CAT037,Samsung,Product_000073,717.58,466.25,2489,37.8,23.7,29.2,9,603.75,4.2
PROD000074,CAT037,Bajaj,Product_000074,2775.23,2183.89,1157,71.3,19.2,45.3,10,2481.6,2.6
PROD000075,CAT030,Patanjali,Product_000075,2703.93,1597.98,4145,5.9,28.3,30.6,9,2005.82,2.7
PROD000076,CAT009,Bajaj,Product_000076,6458.33,3627.95,4192,26.8,29.6,52.0,10,5954.17,3.8
PROD000077,CAT039,Red Tape,Product_000077,7896.82,4219.18,3425,31.5,43.3,11.6,1,5907.4,4.5
PROD000078,CAT022,Crompton,Product_000078,4358.19,2825.32,2377,55.6,29.4,5.0,10,3371.35,4.6
PROD000079,CAT022,Bajaj,Product_000079,7625.39,3972.83,1775,57.9,3.1,25.2,4,5858.17,2.6
PROD000080,CAT029,Boat,Product_000080,11066.26,7536.47,4568,9.9,41.7,11.2,3,8588.65,3.2
PROD000081,CAT031,Crompton,Product_000081,2417.87,1649.01,2838,21.3,6.0,14.0,3,2173.46,4.5
PROD000082,CAT039,Mi,Product_000082,1957.75,991.27,2781,66.9,51.1,6.7,12,1579.12,3.8
PROD000083,CAT024,Lakme,Product_000083,4363.59,2297.94,713,19.4,43.1,28.1,10,3417.0,2.9
PROD000084,CAT025,Oneplus,Product_000084,5854.46,4007.55,1279,26.5,36.7,45.3,5,4596.4,3.6
PROD000085,CAT030,Fastrack,Product_000085,5438.86,4313.89,2047,17.2,28.3,35.2,11,4806.9,4.3
PROD000086,CAT011,Dell,Product_000086,9874.01,7679.58,3874,61.6,12.0,24.0,7,8941.13,4.3
PROD000087,CAT013,Adidas,Product_000087,1132.59,686.6,4664,7.0,40.0,4.7,11,986.2,4.5
PROD000088,CAT026,Oneplus,Product_000088,1744.47,1213.65,5461,27.6,8.4,32.5,10,1461.09,2.5
PROD000089,CAT003,Mi,Product_000089,7333.94,4000.63,2408,44.9,37.1,22.4,3,6000.93,3.2
PROD000090,CAT013,Fastrack,Product_000090,3337.45,1834.98,2547,5.5,12.6,17.4,11,2565.13,3.2
PROD000091,CAT029,Dell,Product_000091,13710.93,8662.54,4237,76.5,36.6,29.3,12,10705.72,3.1
PROD000092,CAT040,Bajaj,Product_000092,3862.95,2746.24,1835,70.2,10.8,13.5,7,3083.34,3.5
PROD000093,CAT021,Red Tape,Product_000093,5711.14,3701.51,3019,53.5,7.5,22.0,4,5058.37,3.5
PROD000094,CAT016,Airtel,Product_000094,6140.64,3851.84,3756,37.9,29.3,55.9,7,5144.36,3.4
PROD000095,CAT018,Boat,Product_000095,3439.52,1990.99,1376,16.6,43.2,38.2,11,2989.25,3.5
PROD000096,CAT028,Nike,Product_000096,10390.06,6685.44,1610,46.5,15.8,59.4,5,9272.88,3.2
PROD000097,CAT022,Nike,Product_000097,802.23,471.48,2023,22.9,30.9,39.2,1,761.8,4.8
PROD000098,CAT001,Hp,Product_000098,2023.46,1506.52,3219,52.9,48.3,9.4,1,1756.72,3.8
PROD000099,CAT022,Hp,Product_000099,3391.9,1827.14,1560,15.9,33.9,41.3,10,3010.11,3.6
PROD000100,CAT017,Bajaj,Product_000100,11778.19,7762.23,1224,58.8,36.6,52.5,8,9641.84,3.1
PROD000101,CAT029,Nike,Product_000101,4474.04,2855.03,907,29.2,14.8,55.1,3,4186.47,3.1
PROD000102,CAT036,Dell,Product_000102,5331.64,3501.3,4470,42.6,9.2,35.1,9,4713.44,4.2
PROD000103,CAT039,Adidas,Product_000103,8172.04,5259.86,4884,17.1,10.6,10.7,4,7684.6,3.5
PROD000104,CAT025,Nike,Product_000104,1995.26,1156.31,4985,24.2,58.4,40.0,6,1605.94,3.2
PROD000105,CAT015,Hp,Product_000105,12832.46,8033.41,4537,38.8,7.0,12.0,3,10514.47,2.9
