return_id,order_id,product_id,return_reason,return_status,return_date
RET0000001,ORD0068441,PROD004245,Quality Issue,approved,2021-08-17
RET0000002,ORD0014603,PROD005066,Quality Issue,refunded,2022-09-27
RET0000003,ORD0004190,PROD006469,Changed Mind,requested,2023-01-14
RET0000004,ORD0119843,PROD005040,Size Issue,approved,2021-09-05
RET0000005,ORD0112236,PROD000254,Late Delivery,refunded,2022-08-03
RET0000006,ORD0087609,PROD006969,Quality Issue,approved,2023-02-18
RET0000007,ORD0053485,PROD003614,Damaged Item,picked_up,2024-04-22
RET0000008,ORD0095655,PROD005963,Damaged Item,picked_up,2022-09-09
RET0000009,ORD0045401,PROD006834,Quality Issue,requested,2021-02-09
RET0000010,ORD0106789,PROD007672,Wrong Item,requested,2021-05-29
RET0000011,ORD0062678,PROD004394,Quality Issue,refunded,2024-02-16
RET0000012,ORD0067638,PROD004923,Size Issue,refunded,2024-05-03
RET0000013,ORD0015550,PROD005633,Damaged Item,requested,2022-11-29
RET0000014,ORD0034818,PROD001867,Late Delivery,approved,2024-04-09
RET0000015,ORD0014508,PROD003808,Changed Mind,approved,2022-05-14
RET0000016,ORD0092986,PROD003445,Changed Mind,picked_up,2023-12-29
RET0000017,ORD0036770,PROD005128,Quality Issue,refunded,2023-01-19
RET0000018,ORD0097875,PROD006597,Late Delivery,approved,2023-02-05
RET0000019,ORD0044759,PROD005313,Late Delivery,refunded,2024-01-06
RET0000020,ORD0061857,PROD000999,Quality Issue,refunded,2023-01-02
RET0000021,ORD0077652,PROD002709,Size Issue,requested,2022-04-17
RET0000022,ORD0021540,PROD002905,Wrong Item,refunded,2023-02-28
RET0000023,ORD0007046,PROD005075,Changed Mind,approved,2023-05-18
RET0000024,ORD0046316,PROD004759,Wrong Item,requested,2021-12-29
RET0000025,ORD0023297,PROD002042,Late Delivery,picked_up,2021-08-19
RET0000026,ORD0087852,PROD000270,Quality Issue,approved,2023-02-09
RET0000027,ORD0033715,PROD003741,Wrong Item,approved,2022-10-31
RET0000028,ORD0035271,PROD005902,Quality Issue,picked_up,2021-12-31
